,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,predicted
6066,6066,Italy,"90 % sangiovese , 5 % merlot 5 % colorino aromas recall forest floor , dark berry whiff toast . palate , notes ground pepper , anise cocoa accent core black cherry firm , fine-grained tannins provide support . drink 2017 .",,89,20.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Borgo Scopeto 2013  Chianti Classico,Red Blend,Borgo Scopeto,1
6067,6067,Italy,"aromas menthol , underbrush , scorched soil , licorice ripe plum lead nose . structured palate delivers dried black cherry , aniseed , eucalyptus ground pepper alongside backbone fine-grained tannins . closes coffee note .",Baruffo,89,22.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Cantalici L'Antica Fornace di Ridolfo 2012 Baruffo  (Chianti Classico),Sangiovese,Cantalici L'Antica Fornace di Ridolfo,1
6068,6068,Italy,"sangiovese 5 % canaiolo , medium-bodied red initially rather funky aromas eventually burn glass reveal dark berry , tilled soil whiff baking spice . ripe palate offers juicy wild cherry , ground pepper , dried aromatic herb earthy note game alongside smooth tannins .",Riserva,89,,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castellare di Castellina 2012 Riserva  (Chianti Classico),Red Blend,Castellare di Castellina,1
6069,6069,Italy,"full-bodied mix sangiovese 5 % merlot , offers aromas ripe dark-skinned , dark cooking spice , menthol tobacco . firm , forward palate , notes clove , peppercorn anise accent core dried black cherry . assertive , fine-grained tannins provide framework .",Riserva,89,20.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Gabbiano 2011 Riserva  (Chianti Classico),Sangiovese,Castello di Gabbiano,1
6075,6075,Italy,"fresh savory , vibrant red offers classic sangiovese sensations violet , red berry , black cherry , tilled soil dark spice . 's medium bodied balanced , bright acidity refined tannins . aniseed note marks close .",,89,20.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Tenuta di Arceno 2013  Chianti Classico,Red Blend,Tenuta di Arceno,1
6077,6077,Italy,"sangiovese 5 % cabernet sauvignon , aromas violet , blackberry whiff baking spice . fresh , easy-drinking palate offers juicy black cherry , clove hint ground espresso alongside supple tannins .",,89,11.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Toscolo 2013  Chianti Classico,Red Blend,Toscolo,1
6082,6082,Italy,"aromas ripe plum , pressed blue flowers , dark berry coffee lead nose . round , savory palate offers dried black cherry , cinnamon-spice espresso alongside soft acidity supple tannins . drink 2016 .",,89,15.0,Tuscany,Chianti,,Kerin O’Keefe,@kerinokeefe,Fattoria Valacchi 2012  Chianti,Sangiovese,Fattoria Valacchi,1
8107,8107,Italy,"bold red aromas resin , stewed plum , leather , cake spice balsamic note . chewy palate doles dried black cherry , blackberry jam , candied nectarine zest licorice big velvety tannins provide enveloping support . pipe tobacco sensation closes finish . drink 2018–2028 .",Campomasua,93,79.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Venturini Massimino 2010 Campomasua  (Amarone della Valpolicella Classico),Red Blend,Venturini Massimino,1
8109,8109,Italy,"wild berry , leather , tobacco , tilled earth , aromatic herb floral aromas meld together impressive red . full-bodied structured palate delivers black cherry marinated spirits , dried plum , chocolate licorice alongside backbone firm velvety tannins . drink 2018–2026 .",Costasera Riserva,93,77.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Masi 2011 Costasera Riserva  (Amarone della Valpolicella Classico),Red Blend,Masi,1
8113,8113,Italy,"alluring aromas exotic spice , purple flower , dark-skinned berry balsamic note lead nose . concentrated palate delivers dried cherry , ripe plum , mint , licorice hint game alongside velvety tannins wrap around finish . nicely balances weight finesse .",La Marega,93,92.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Le Salette 2013 La Marega  (Amarone della Valpolicella Classico),Red Blend,Le Salette,1
8645,8645,Italy,"straightforward amarone , red spice aromas . palate delivers cherry raspberry flavors hint white pepper . 's rich amarones , lithe tannins fresh acidity make drinkable .",Ca' Bertoldi,89,40.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Recchia 2006 Ca' Bertoldi  (Amarone della Valpolicella Classico),Red Blend,Recchia,1
9247,9247,Italy,"entirely sangiovese , elegant chianti enticing ripe red berry , violet baking spice scents . palate doles succulent black cherry , leather clove notes , firm , savory tannins offer support . enjoy 2021 .",Montebello Sette Gran Selezione,91,30.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Tolaini 2013 Montebello Sette Gran Selezione  (Chianti Classico),Sangiovese,Tolaini,1
9273,9273,Italy,"aromas tilled earth , truffle woodland berry lead nose . lively , straightforward palate offers juicy wild cherry , cinnamon clove alongside soft , polished tannins . simple well , 's ideal everyday .",Piegaia,86,17.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Villa Calcinaia 2013 Piegaia  (Chianti Classico),Red Blend,Villa Calcinaia,1
9285,9285,Italy,"mostly sangiovese topped small amount canaiolo malvasia nera , offers aromas recall red berry , dark spice , menthol whiff moist earth . easygoing , tangy palate offers wild cherry , orange zest hint clove alongside zesty acidity . enjoy 2016 .",,86,,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Casa Emma 2013  Chianti Classico,Red Blend,Casa Emma,1
9816,9816,Italy,"forest floor , new leather , ripe , dark-skinned berry hint blue flower scents 'll discover structured , polished red . smooth , delicious palate offers layers fleshy black cherry , baking spice dried mediterranean herb firm , refined tannins provide framework .",Riserva,93,39.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Badia a Coltibuono 2011 Riserva  (Chianti Classico),Red Blend,Badia a Coltibuono,1
11051,11051,Italy,"ripe blackberry , truffle , cured meat leather aromas emerge svelte red . polished , light- medium-bodied palate offers dried black cherry , cinnamon white pepper fine-grained tannins provide elegant support .",Vigna Bastignano Gran Selezione,89,60.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Villa Calcinaia 2013 Vigna Bastignano Gran Selezione  (Chianti Classico),Sangiovese,Villa Calcinaia,1
11066,11066,Italy,"fragrant blue flower , black plum , eucalyptus whiff exotic spice lead nose . firm palate offers dried black cherry , pomegranate , vanilla mocha alongside austere , fine-grained tannins give finish grip .",Cortevecchia Riserva,89,35.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Principe Corsini 2013 Cortevecchia Riserva  (Chianti Classico),Red Blend,Principe Corsini,1
11068,11068,Italy,"offers aromas dark-skinned berry , asian spice , menthol new leather . juicy palate delivers wild cherry , crushed raspberry licorice alongside fine-grained tannins bright acidity . shows good concentration body vintage .",,89,22.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Rocca di Castagnoli 2014  Chianti Classico,Red Blend,Rocca di Castagnoli,1
11072,11072,Italy,"silky fresh , delivers succulent marasca cherry , cinnamon star anise , orange zest chopped herb . soft , supple tannins fresh acidity ensure sheer drinking pleasure .",RS,89,15.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Badia a Coltibuono 2013 RS  (Chianti Classico),Sangiovese,Badia a Coltibuono,1
11904,11904,Italy,"intensely floral , aromas blue iris , crushed violet , ripe berry whiff baking spice . elegantly structured palate doles juicy plum , ripe wild cherry , vanilla , cinnamon mocha accompanied fine-grained tannins . drink 2021 .",Riserva,92,45.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,I Sodi 2011 Riserva  (Chianti Classico),Red Blend,I Sodi,1
11905,11905,Italy,"attractive scents ripe plum , blue flower , eucalyptus baking spice spill glass . round , rich palate doles juicy black cherry , crushed raspberry , licorice hint chopped herb . velvety tannins provided polished support . drink 2021 .",Gran Selezione,92,65.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Lornano 2011 Gran Selezione  (Chianti Classico),Red Blend,Lornano,1
11906,11906,Italy,"ripe black-skinned berry , truffle , scorched soil , violet potpourri kitchen spice aromas emerge polished red . smooth , delicious palate doles juicy black cherry , black raspberry , licorice chopped mint set framework silky , supple tannins . enjoy 2018 .",,92,25.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Losi Querciavalle 2011  Chianti Classico,Red Blend,Losi Querciavalle,1
12167,12167,Italy,"plum , truffle , tilled earth hint mocha lead nose ripe , round palate offers fleshy black cherry , crushed raspberry , baking spice pipe tobacco . velvety tannins support savory flavors carry chewy , licorice finish . drink 2020 .",Gran Selezione,91,45.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Casa Sola 2011 Gran Selezione  (Chianti Classico),Sangiovese,Casa Sola,1
12807,12807,Italy,"aromas underbrush , leather blue flower lead nose sangiovese 15 % colorino canaiolo . fresh , easy-drinking palate delivers wild cherry , raspberry hint licorice alongside supple tannins .",,88,14.0,Tuscany,Chianti,,Kerin O’Keefe,@kerinokeefe,Cecchi 2012  Chianti,Red Blend,Cecchi,1
12826,12826,Italy,"aromas sunbaked earth , mature berry , hint grilled herb . ripe palate delivers dried black cherry , licorice hint coffee fine-grained tannins give firm finish .",Riserva,88,15.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Gabbiano 2012 Riserva  (Chianti Classico),Red Blend,Castello di Gabbiano,1
12827,12827,Italy,"delicate scents wild berry fragrant blue flower float glass . refined , easy-drinking palate doles succulent black cherry , licorice coffee note polished tannins provide lithe support .",,88,15.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Gabbiano 2013  Chianti Classico,Red Blend,Castello di Gabbiano,1
12828,12828,Italy,"wild berry , new leather menthol aromas meld together . elegant , direct palate shows dried cherry , white pepper chopped herb alongside austere , close-grained tannins lively acidity .",Campopazzo Riserva,88,27.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Monterinaldi 2013 Campopazzo Riserva  (Chianti Classico),Red Blend,Castello di Monterinaldi,1
12829,12829,Italy,"menthol , worn leather , moist earth , black plum whiff oriental spice aromas lift glass . taut , rather lean palate shows raw cherry , orange zest , mocha white pepper alongside austere , fine-grained tannins nervous acidity .",Riserva,88,29.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Monterinaldi 2013 Riserva  (Chianti Classico),Red Blend,Castello di Monterinaldi,1
12830,12830,Italy,"alluring scents wild berry , moist earth , truffle grilled herb unfold glass . vibrant , light-bodied palate offers juicy red cherry , chopped mint star anise alongside lithe , polished tannins bright acidity .",,88,16.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Radda 2013  Chianti Classico,Red Blend,Castello di Radda,1
12841,12841,Italy,"baking spice , perfumed berry crushed floral scents mingle together bright red . straightforward palate offers black cherry , white pepper clove accompanied zesty acidity fine-grained tannins . drink 2018 .",,88,25.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Setriolo 2013  Chianti Classico,Red Blend,Setriolo,1
12843,12843,Italy,"sangiovese , canaiolo cabernet sauvignon , aromas suggesting mature dark-skinned , toast , sunbaked earth cooking spice . polished , straightforward palate , hints clove , orange peel anise back core dried black cherry close-grained tannins provide framework . drink 2018 .",,88,20.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Tenuta Cappellina 2012  Chianti Classico,Red Blend,Tenuta Cappellina,1
12848,12848,Italy,"aromas dark berry , toast , coffee whiff forest floor lead nose vibrant , light-bodied palate offers crushed black cherry , star anise note grilled herb . fine-grained tannins bright acidity lend polished , easygoing support .",,88,23.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Borgo Salcetino 2013  Chianti Classico,Red Blend,Borgo Salcetino,1
13287,13287,Italy,"100 % sangiovese aromas plum , wild berry , grilled herb menthol note . structured palate offers ripe black cherry , mint ground white pepper alongside firm , fine-grained tannins fresh acidity . drink 2016–2020 .",Bugialla Riserva,90,45.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Fattoria Poggerino 2012 Bugialla Riserva  (Chianti Classico),Sangiovese,Fattoria Poggerino,1
13288,13288,Italy,"90 % sangiovese , 5 % merlot 5 % colorino , straightforward , savory aromas ripe berry , tobacco , blue flowers whiff cedar . bright , accessible palate delivers crushed black cherry , licorice white pepper alongside supple tannins fresh acidity . 's sheer drinking pleasure enjoy next years .",,90,15.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Gabbiano 2012  Chianti Classico,Red Blend,Castello di Gabbiano,1
13289,13289,Italy,"sangiovese topped merlot cabernet sauvignon , aromas ripe plum , baked earth , pressed blue flower brown spice . firm palate delivers dried black cherry , mocha , anise tobacco alongside fine-grained tannins .",Agostino Petri Riserva,90,20.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello Vicchiomaggio 2012 Agostino Petri Riserva  (Chianti Classico),Red Blend,Castello Vicchiomaggio,1
13293,13293,Italy,"sangiovese , 5 % canaiolo malvasia nera , offers earthy aromas truffle , scorched earth , crushed violet baked plum . ripe , savory palate delivers juicy black cherry , raspberry , licorice , white pepper tobacco . chewy tannins provide framework . drink 2018 .",,90,24.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Fattoria di Corsignano 2012  Chianti Classico,Red Blend,Fattoria di Corsignano,1
13295,13295,Italy,"tilled soil , ripe plum , blue iris whiff spice come together nose . vibrant , juicy palate offers ripe wild cherry , crushed raspberry , mocha clove alongside fine-grained tannins . drink 2018 .",Famiglia Zingarelli,90,15.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Rocca delle Macìe 2013 Famiglia Zingarelli  (Chianti Classico),Red Blend,Rocca delle Macìe,1
13296,13296,Italy,"expression sangiovese 5 % merlot aromas plum , red berry , toast , grilled herb whiff mocha . savory palate , hints exotic spice , mint cocoa accent core wild cherry . chewy fine-grained tannins hold juicy flavors .",,90,25.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Setriolo 2012  Chianti Classico,Red Blend,Setriolo,1
13299,13299,Italy,"intense blue flower mint aromas lead nose follow juicy palate ripe red berry black cherry . 's well-structured easy drinking , modest fresh acidity fine-grained tannins . drink 2017 .",Darno,90,38.0,Tuscany,Chianti Colli Fiorentini,,Kerin O’Keefe,@kerinokeefe,Tenuta San Vito 2012 Darno  (Chianti Colli Fiorentini),Red Blend,Tenuta San Vito,1
13301,13301,Italy,"90 % sangiovese , 5 % cabernet sauvignon 5 % merlot , aromas red currant , cedar exotic spice . medium-bodied palate delivers black cherry , peppermint , black pepper grilled herb alongside firm , fine-grained tannins . enjoy 2020 .",Riserva,90,27.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Toscolo 2010 Riserva  (Chianti Classico),Red Blend,Toscolo,1
14502,14502,Italy,"firmly structured , velvety red aromas black currant , french oak , menthol , asian spice whiff grilled herb . full-bodied , elegant palate doles crushed blackberry , succulent morello cherry , licorice tobacco alongside backbone taut , fine-grained tannins . drink 2018–2027 .",Black Label,88,30.0,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Pasqua 2013 Black Label  (Amarone della Valpolicella),Red Blend,Pasqua,1
14611,14611,Italy,"woodland berry , forest floor , leather , toast eucalyptus aromas offered vibrant . firm palate doles juicy black cherry plum notes espresso , mocha , licorice tobacco provide backup . 's balanced assertive tannins bright acidity . drink 2015–2022 .",Gran Selezione,91,40.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Tenuta di Lilliano 2010 Gran Selezione  (Chianti Classico),Red Blend,Tenuta di Lilliano,1
14630,14630,Italy,"aromas meat juice , scorched earth , grilled herb dried plum lead nose . rich palate , notes licorice , dried sage , mocha orange peel accent primary flavors raspberry jam crushed black cherry . 's balanced firm tannins .",Ottantuno Gran Selezione,90,55.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Luiano 2011 Ottantuno Gran Selezione  (Chianti Classico),Red Blend,Luiano,1
15203,15203,Italy,"'s lot love juicy , delicious , starting aromas ripe , dark-skinned berry , baking spice , leather , sun baked soil menthol . elegant , structured palate delivers ripe black cherry , cinnamon , anise tobacco firm , polished tannins provide support finesse . blast orange zest signals close .",Coltassala Riserva,94,69.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Volpaia 2012 Coltassala Riserva  (Chianti Classico),Red Blend,Volpaia,1
15423,15423,Italy,"aromas raisin , purple flower , stewed plum , asian spice hint resin lead nose dense red . big monolithic palate doles mature black plum , raisin , blackberry extract licorice alongside velvety tannins . confectionery note closes finish .",Gaso,90,64.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,San Rustico 2010 Gaso  (Amarone della Valpolicella Classico),Red Blend,San Rustico,1
15424,15424,Italy,"pipe tobacco , exotic spice , mature black-skinned berry aromas balsamic note slowly emerge brawny red . powerfully built palate delivers raisin , dried morello cherry , licorice , espresso clove alongside bracing , close-grained tannins grip finish .",Lilium Est Riserva,90,,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Tenuta Sant'Antonio 2007 Lilium Est Riserva  (Amarone della Valpolicella),Red Blend,Tenuta Sant'Antonio,1
15430,15430,Italy,"aromas chopped herb , exotic spice , coconut , menthol whiff new leather lead nose full-bodied structured red . robust palate offers raisin , blackberry extract , coffee tobacco alongside firm , fine-grained tannins .",,90,45.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,David Sterza 2012  Amarone della Valpolicella Classico,Red Blend,David Sterza,1
15443,15443,Italy,"'ll find aromas suggesting leather , mature dark-skinned , moist earth whiff game brawny red . firm palate offers dried black cherry , raisin , licorice tobacco alongside close-grained tannins grip finish .",Serego Alighieri Vaio Armaron,90,75.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Masi 2008 Serego Alighieri Vaio Armaron  (Amarone della Valpolicella Classico),Red Blend,Masi,1
